State,"Average Electricity Dollars per kWh"
Connecticut,0.2803
Maine,0.247366666666667
Massachusetts,0.286325
New Hampshire,0.239591666666667
Rhode Island,0.291191666666667
Vermont,0.214716666666667
New Jersey,0.183641666666667
New York,0.233825
Pennsylvania,0.17765
Illinois,0.155891666666667
Indiana,0.1461
Michigan,0.19055
Ohio,0.159775
Wisconsin,0.171008333333333
Iowa,0.134225
Kansas,0.138083333333333
Minnesota,0.15075
Missouri,0.128416666666667
Nebraska,0.116508333333333
North Dakota,0.116358333333333
South Dakota,0.127016666666667
Delaware,0.164733333333333
District of Columbia,0.172125
Florida,0.1477
Georgia,0.138741666666667
Maryland,0.174891666666667
North Carolina,0.141083333333333
South Carolina,0.141816666666667
Virginia,0.14375
West Virginia,0.14715
Alabama,0.149008333333333
Kentucky,0.126633333333333
Mississippi,0.134683333333333
Tennessee,0.123841666666667
Arkansas,0.122658333333333
Louisiana,0.11505
Oklahoma,0.122208333333333
Texas,0.145541666666667
Arizona,0.146658333333333
Colorado,0.14695
Idaho,0.115966666666667
Montana,0.127725
Nevada,0.160358333333333
New Mexico,0.14415
Utah,0.112466666666667
Wyoming,0.1214
California,0.310325
Oregon,0.139025
Washington,0.115458333333333
Alaska,0.245541666666667
Hawaii,0.430341666666667
