Sourcekey,Date,Average Fuel Oil Dollars per gallon
W_EPD2F_PRS_SCT_DPG,Weekly Connecticut No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.89859375
W_EPD2F_PRS_SME_DPG,Weekly Maine No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.8395625
W_EPD2F_PRS_SMA_DPG,Weekly Massachusetts No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.05815625
W_EPD2F_PRS_SNH_DPG,Weekly New Hampshire No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.1619375
W_EPD2F_PRS_SRI_DPG,Weekly Rhode Island No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.042
W_EPD2F_PRS_SVT_DPG,Weekly Vermont No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.09446875
W_EPD2F_PRS_SDE_DPG,Weekly Delaware No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.343875
W_EPD2F_PRS_SMD_DPG,Weekly Maryland No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.1803125
W_EPD2F_PRS_SNJ_DPG,Weekly New Jersey No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.25215625
W_EPD2F_PRS_SNY_DPG,Weekly New York No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.2729375
W_EPD2F_PRS_SPA_DPG,Weekly Pennsylvania No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.803
W_EPD2F_PRS_SNC_DPG,Weekly North Carolina No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.81425
W_EPD2F_PRS_SVA_DPG,Weekly Virginia No. 2 Heating Oil Residential Price  (Dollars per Gallon),4.01034375
W_EPD2F_PRS_SIN_DPG,Weekly Indiana No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.67325
W_EPD2F_PRS_SIA_DPG,Weekly Iowa No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.31471875
W_EPD2F_PRS_SKY_DPG,Weekly Kentucky No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.6375625
W_EPD2F_PRS_SMI_DPG,Weekly Michigan No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.470875
W_EPD2F_PRS_SMN_DPG,Weekly Minnesota No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.78228125
W_EPD2F_PRS_SNE_DPG,Weekly Nebraska No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.223625
W_EPD2F_PRS_SOH_DPG,Weekly Ohio No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.667375
W_EPD2F_PRS_SWI_DPG,Weekly Wisconsin No. 2 Heating Oil Residential Price  (Dollars per Gallon),3.405
